timestamp_localtime,experiment,pioreactor_unit,timestamp,message,source,level,task
5/23/24 11:53,Switching Media Salinity,leader1,2024-05-23T18:53:17.407868Z,Running media pump continuously.,app,INFO,add_media
5/23/24 11:53,Switching Media Salinity,worker3,2024-05-23T18:53:23.004810Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for worker3.",app,ERROR,remove_waste
5/23/24 11:53,Switching Media Salinity,worker2,2024-05-23T18:53:23.022325Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for worker2.",app,ERROR,remove_waste
5/23/24 11:53,Switching Media Salinity,worker1,2024-05-23T18:53:23.022783Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for worker1.",app,ERROR,remove_waste
5/23/24 11:53,Switching Media Salinity,leader1,2024-05-23T18:53:23.037235Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for leader1.",app,ERROR,remove_waste
5/23/24 11:53,Switching Media Salinity,worker3,2024-05-23T18:53:31.988477Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:53,Switching Media Salinity,worker2,2024-05-23T18:53:31.988552Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:53,Switching Media Salinity,worker1,2024-05-23T18:53:31.988779Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:53,Switching Media Salinity,leader1,2024-05-23T18:53:31.991450Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:53,Switching Media Salinity,worker2,2024-05-23T18:53:32.047967Z,Cleaned up GPIO-12.,app,DEBUG,remove_waste
